phone_id,test_id,tx_power,cal_confidence,rssi_offset,carriage_state
22,1,-18,3,3,Front Pants Pocket
23,1,-18,3,3,Front Pants Pocket
22,2,-18,3,3,Front Pants Pocket
23,2,-18,3,3,Front Pants Pocket
22,3,-18,3,3,Front Pants Pocket
23,3,-18,3,3,Front Pants Pocket
22,4,-18,3,3,Front Pants Pocket
23,4,-18,3,3,Front Pants Pocket
22,5,-18,3,3,Front Pants Pocket
23,5,-18,3,3,Front Pants Pocket
22,6,-18,3,3,Front Pants Pocket
23,6,-18,3,3,Front Pants Pocket
22,7,-18,3,3,Front Pants Pocket
23,7,-18,3,3,Front Pants Pocket
22,8,-18,3,3,Front Pants Pocket
23,8,-18,3,3,Front Pants Pocket
22,9,-18,3,3,Front Pants Pocket
23,9,-18,3,3,Front Pants Pocket
22,10,-18,3,3,Front Pants Pocket
23,10,-18,3,3,Front Pants Pocket
22,11,-18,3,3,Front Pants Pocket
23,11,-18,3,3,Front Pants Pocket
22,12,-18,3,3,Front Pants Pocket
23,12,-18,3,3,Front Pants Pocket
22,13,-18,3,3,Front Pants Pocket
23,13,-18,3,3,Front Pants Pocket
22,14,-18,3,3,Front Pants Pocket
23,14,-18,3,3,Front Pants Pocket
22,15,-18,3,3,Front Pants Pocket
23,15,-18,3,3,Front Pants Pocket
22,16,-18,3,3,Front Pants Pocket
23,16,-18,3,3,Front Pants Pocket
22,17,-18,3,3,Front Pants Pocket
23,17,-18,3,3,Front Pants Pocket
22,18,-18,3,3,Front Pants Pocket
23,18,-18,3,3,Front Pants Pocket
22,19,-18,3,3,Front Pants Pocket
23,19,-18,3,3,Front Pants Pocket
22,20,-18,3,3,Front Pants Pocket
23,20,-18,3,3,Front Pants Pocket
22,21,-18,3,3,Front Pants Pocket
21,21,-19,3,3,Front Pants Pocket
23,22,-18,3,3,Front Pants Pocket
21,22,-19,3,3,Front Pants Pocket
22,23,-18,3,3,Front Pants Pocket
23,23,-18,3,3,Front Pants Pocket
22,24,-18,3,3,Front Pants Pocket
21,24,-19,3,3,Front Pants Pocket
23,25,-18,3,3,Front Pants Pocket
21,25,-19,3,3,Front Pants Pocket
22,26,-18,3,3,Front Pants Pocket
23,26,-18,3,3,Front Pants Pocket
22,27,-18,3,3,Front Pants Pocket
21,27,-19,3,3,Front Pants Pocket
23,28,-18,3,3,Front Pants Pocket
21,28,-19,3,3,Front Pants Pocket
22,29,-18,3,3,Front Pants Pocket
23,29,-18,3,3,Front Pants Pocket
22,30,-18,3,3,Front Pants Pocket
21,30,-19,3,3,Front Pants Pocket
23,31,-18,3,3,Front Pants Pocket
21,31,-19,3,3,Front Pants Pocket
22,32,-18,3,3,Front Pants Pocket
23,32,-18,3,3,Front Pants Pocket
22,33,-18,3,3,Front Pants Pocket
21,33,-19,3,3,Front Pants Pocket
23,34,-18,3,3,Front Pants Pocket
21,34,-19,3,3,Front Pants Pocket
22,35,-18,3,3,Front Pants Pocket
23,35,-18,3,3,Front Pants Pocket
22,36,-18,3,3,Front Pants Pocket
21,36,-19,3,3,Front Pants Pocket
23,37,-18,3,3,Front Pants Pocket
21,37,-19,3,3,Front Pants Pocket
22,38,-18,3,3,Front Pants Pocket
23,38,-18,3,3,Front Pants Pocket
22,39,-18,3,3,Front Pants Pocket
21,39,-19,3,3,Front Pants Pocket
23,40,-18,3,3,Front Pants Pocket
21,40,-19,3,3,Front Pants Pocket
22,41,-18,3,3,Front Pants Pocket
23,41,-18,3,3,Front Pants Pocket
22,42,-18,3,3,Front Pants Pocket
21,42,-19,3,3,Front Pants Pocket
23,43,-18,3,3,Front Pants Pocket
21,43,-19,3,3,Front Pants Pocket
22,44,-18,3,3,Front Pants Pocket
23,44,-18,3,3,Front Pants Pocket
22,45,-18,3,3,Front Pants Pocket
21,45,-19,3,3,Front Pants Pocket
23,46,-18,3,3,Front Pants Pocket
21,46,-19,3,3,Front Pants Pocket
22,47,-18,3,3,Front Pants Pocket
23,47,-18,3,3,Front Pants Pocket
22,48,-18,3,3,Front Pants Pocket
21,48,-19,3,3,Front Pants Pocket
23,49,-18,3,3,Front Pants Pocket
21,49,-19,3,3,Front Pants Pocket
22,50,-18,3,3,Front Pants Pocket
23,50,-18,3,3,Front Pants Pocket
22,51,-18,3,3,Front Pants Pocket
21,51,-19,3,3,Front Pants Pocket
23,52,-18,3,3,Front Pants Pocket
